id,full_name,email,bank_name,account_no,balance
1,Fancy Wiffill,fwiffill0@usatoday.com,BYLINE BANK,ME14 9498 5548 4087 1128 31,15098325.98
2,Morgan Reffe,mreffe1@liveinternet.ru,"Danske Bank A/S, Danmark, Sverige Filial",RO59 IKRV J5SL WPDF EBQW I0XV,13443547.86
3,Dixie Jamson,djamson2@sohu.com,FIRST FINANCIAL BANK,FR26 1644 1956 90QQ Y1B6 4KLL D72,32632527.35
4,Natalie Bamblett,nbamblett3@ft.com,BANCA DI CREDITO COOPERATIVO DI PERGOLA E CORINALDO SOCIETA' COOPERATIVA,LB53 1686 8NPC YFBL C5NE EFJN EB5N,46099028.9
5,Tressa Linnane,tlinnane4@example.com,SANTANDER BANK,LT56 7336 4808 6884 0435,49474300.29
6,Grove Spelling,gspelling5@photobucket.com,Bankhaus E. Mayer Aktiengesellschaft,MC49 5452 9287 46LC OLLO QYXJ B99,39019108.82
7,Ricki Oldroyd,roldroyd6@arstechnica.com,BANNER BANK,GR45 7801 245R MP5N UMXD AF2K UWY,19609178.33
8,Hildegaard Wewell,hwewell7@harvard.edu,FIRST NATIONAL BANK,AT73 3942 6585 6691 1281,5474386.28
9,Glenn Alforde,galforde8@nps.gov,Raiffeisenbank Hallertau eG,ES94 5312 2846 0260 1078 3136,7620236.46
10,Lucienne Marchbank,lmarchbank9@hatena.ne.jp,BANCA PROGETTO S.P.A.,SM53 W936 6136 352B AKOH TYL6 JG8,21668001.6
11,Bernardine Bennington,bbenningtona@amazon.co.jp,FIRST CITIZENS BANK & TRUST COMPANY,FI30 7150 3405 4776 19,40417860.44
12,Porter Brissard,pbrissardb@macromedia.com,UNION BANK & TRUST,FR80 7354 3652 712B RAWZ 5V9L L43,20473376.26
13,Alaster Kowalik,akowalikc@usda.gov,CENTENNIAL BANK,IL11 2802 2676 0910 3110 748,20284334.36
14,Caresa Klesse,cklessed@hao123.com,BANCO BPM SOCIETA' PER AZIONI,LI08 0473 86GR GJZN YUFF 5,5946564.07
15,Beatrix Emms,bemmse@shutterfly.com,FIRST STATE BANK,TR80 6045 3DUQ 78GQ IWBI J63M K5,20253450.72
16,Vince Shellibeer,vshellibeerf@flavors.me,Sparkasse Ingolstadt Eichstätt,LI54 7821 7J5Q 1WVP S2XF X,18449733.57
17,Henrik MacArte,hmacarteg@oakley.com,Wells Fargo Bank International Unlimited Company,GL03 6184 5692 3621 95,45786683.86
18,Anstice Binch,abinchh@imdb.com,Sparkasse Korneuburg AG,FI50 4966 0055 6651 22,22809721.96
19,Jeanelle Myner,jmyneri@unblog.fr,M.M.Warburg & CO (AG & Co.) Kommanditgesellschaft auf Aktien,KZ76 5912 TMN1 AYPE WUC7,39136589.74
20,Dorie Dewane,ddewanej@cbslocal.com,BNP Paribas,LI37 2582 0H9C OQZU N2PQ X,15020898.79
21,Marlane More,mmorek@com.com,IBERIABANK,LI05 4081 4MUU RVLW HI65 Z,35452062.31
22,Leupold Newark,lnewarkl@noaa.gov,PNC BANK,DK08 9443 4411 0989 28,14489017.43
23,Marna Windrass,mwindrassm@blogspot.com,Sparkasse Fürstenfeldbruck,GE97 VS46 3215 1628 4216 56,24399106.57
24,Stormie Wainer,swainern@360.cn,AION BANK,NL06 ZRIR 8481 5430 29,40368236.72
25,Federico Gurnee,fgurneeo@skype.com,US BANK,FR02 8897 8799 27P2 H2FZ ZHST H08,46078489.21
26,Khalil Hellwig,khellwigp@ox.ac.uk,BANK OF AMERICA,CY60 4483 3458 QUSN GX1Z I9FC RQG5,29776750.86
27,Fredelia Kibard,fkibardq@yellowpages.com,Facit Bank A/S,GT55 DHMX YCXJ TMGC RA4N A5QY 44TM,33871234.08
28,Rodolph Wright,rwrightr@biblegateway.com,HERITAGE BANK,FR66 4514 6572 33CT ZLHN JWG4 L54,19123645.1
29,Kikelia Rameaux,krameauxs@usa.gov,BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.),ME50 3333 2371 9214 8594 98,14597731.13
30,Ardelle Rothery,arotheryt@yellowbook.com,Bankhaus Carl Spängler & Co. Aktiengesellschaft,NO43 4412 2902 784,26358111.59
31,Davide Jeschner,djeschneru@netlog.com,US BANK,AD94 2397 7870 UJOU LN7M MVY2,36667695.24
32,Elladine Cathery,ecatheryv@tinyurl.com,Sparekassen Danmark,SK17 8723 4362 0306 1762 0111,28255188.05
33,Rene Hallor,rhallorw@amazon.co.uk,ING Bank N.V.,SA78 82Y2 TUBW 2W3L STG0 0VNN,12192690.74
34,Russell Hillaby,rhillabyx@who.int,BANK OF AMERICA,AL03 2376 2838 RAPV MDKM GYNJ 9Y0T,43396476.11
35,Kylila Brasted,kbrastedy@cbc.ca,Bankhaus E. Mayer Aktiengesellschaft,GT34 36XC OWIL SOXI YDDL K0FQ SSRC,22771904.94
36,Henrietta Weedon,hweedonz@smugmug.com,THE PEOPLES BANK,TR08 7136 0WVC 3ONH 3VI3 PNNJ HG,47373308.18
37,Flory Bourley,fbourley10@home.pl,NEW YORK COMMUNITY BANK,KZ02 104Y S0V2 P7Y5 RY07,42292994.98
38,Zora Stockwell,zstockwell11@google.pl,Raiffeisenbank St. Johann-Wagrain-Kleinarl eGen,KZ75 592G T1YK 6CUV YZGL,13698081.65
39,Roseanna Filippo,rfilippo12@diigo.com,CITIZENS BUSINESS BANK,AT85 7366 2300 3170 7267,10273026.87
